순번,영화명,개봉일,전국관객수
76,2012,2009-11-12,5462953 
77,닥터 스트레인지,2016-10-26,5446379 
78,검은 사제들,2015-11-05,5440945 
79,더 킹,2017-01-18,5316015 
80,완득이,2011-10-20,5310510 
81,트랜스포머: 사라진 시대,2014-06-25,5295801 
82,월드 워 Z,2013-06-20,5237525 
83,타워,2012-12-25,5181014 
84,말아톤,2005-01-27,5148022 
85,미녀와 야수,2017-03-16,5137995 
86,추격자,2008-02-14,5071619 
87,쿵푸팬더 2,2011-05-26,5062722 
88,인사이드 아웃,2015-07-09,4968687 
89,캐리비안의 해적: 세상의 끝에서,2007-05-23,4966571 
90,킹스맨: 골든 서클,2017-09-27,4941603 
91,스파이더맨 3,2007-05-01,4935660 
92,바람과 함께 사라지다,2012-08-08,4897551 
93,마션,2015-10-08,4875494 
94,어메이징 스파이더맨,2012-06-28,4853123 
95,"님아, 그 강을 건너지 마오",2014-11-27,4801355 
96,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,4786259 
97,군도: 민란의 시대,2014-07-23,4774895 
98,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,4710454 
99,주토피아,2016-02-17,4703245 
100,엣지 오브 투모로우,2014-06-04,4697142 
101,신세계,2013-02-21,4682492 
102,쿵푸 팬더,2008-06-05,4673009 
103,신비한 동물사전,2016-11-16,4666990 
104,도가니,2011-09-22,4662822 
105,캐리비안의 해적 : 망자의 함,2006-07-06,4628903 
106,박물관이 살아있다!,2006-12-21,4612831 
107,내 아내의 모든 것,2012-05-17,4598583 
108,판도라,2016-12-07,4571145 
109,터미네이터 : 미래전쟁의 시작,2009-05-21,4568891 
110,맘마미아!,2008-09-03,4554785 
111,연가시,2012-07-05,4513026 
112,아이언맨 2,2010-04-29,4498335 
113,해리포터와 죽음의 성물2,2011-07-13,4400298 
114,아이언맨,2008-04-30,4316003 
115,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,4313871 
116,강철중: 공공의 적 1-1,2008-06-19,4300670 
117,아가씨,2016-06-01,4277071 
118,킹콩,2005-12-14,4232430 
119,어메이징 스파이더맨 2,2014-04-23,4168350 
120,인디아나 존스 4 : 크리스탈 해골의 왕국,2008-05-22,4136101 
121,용의자,2013-12-24,4131248 
122,건축학개론,2012-03-22,4110645 
123,태풍,2005-12-14,4094395 
124,미이라 3:황제의 무덤,2008-07-30,4090795 
125,7급 공무원,2009-04-22,4088799 
126,다크 나이트,2008-08-06,4087355 
127,댄싱퀸,2012-01-18,4057546 
